cod_art;pedidos_que_lo_incluyeron;descripcion;origen;color
010101-4;3764;Banana Brasil (super);Brasil;4
010701-4;3653;Banana Ecuador (Super);Ecuador;4
600101;2261;Palta Brasil Cal. 60;Brasil;
010101-5;1754;Banana Brasil (super);Brasil;5
890501;1658;Arandanos Perú;Perú;
010401-4;1509;Banana Paraguay Primera;Paraguay;4
090901;1111;Jengibre Brasil;Brasil;
0802363;1099;;;
970101;1027;Mani tostado;;
010701-5;823;Banana Ecuador (Super);Ecuador;5
760704;703;Platano Ecuador 22 Kilos;Ecuador;
010401-5;660;Banana Paraguay Primera;Paraguay;5
010702-4;655;Banana Ecuador Bonita;Ecuador;4
250101;610;Papaya Formosa Brasil;Brasil;
010101-7;583;Banana Brasil (super);Brasil;7
900103;572;Mango Tomy Brasil;Brasil;
030100;550;Choclo Importado x 2;;
120707;511;Piña Ecuador Calibre 7;Ecuador;
010126;505;;;
0802231;497;Kiwi Chile Calibre 23 al 27 Cat 1;Chile;
0802301;419;;;
600103;405;Palta Brasil Cal. 70;Brasil;
311208;402;Pomelo;;
010701-3;387;Banana Ecuador (Super);Ecuador;3
D01;353;Dto. Bananas madera;;
150101;311;Lima Brasil;Brasil;
760703;292;;;
010703-12;287;Banana Bolivia Tuly;Bolivia;12
010101-1;261;Banana Brasil (super);Brasil;1
010701-7;247;Banana Ecuador (Super);Ecuador;7
010101-3;244;Banana Brasil (super);Brasil;3
940104;242;Melon Valenciano Brasil;Brasil;
980101;241;Sandia;;
120402;194;;;
010703-13;190;Banana Bolivia Tuly;Bolivia;13
D25;176;;;
D02;173;;;
010702-5;165;Banana Ecuador Bonita;Ecuador;5
600584;159;;;
750101;122;Coco Brasil;Brasil;
D17;117;;;
120708;107;Piña Ecuador Calibre 8;Ecuador;
090903;81;;;
600104;81;Palta Brasil Cal. 84;Brasil;
250104;80;;;
090904;75;Cúrcuma Brasil;Brasil;
D33;74;;;
600570;71;;;
120706;65;Piña Ecuador Calibre 6;Ecuador;
600102;59;;;
010401-3;58;Banana Paraguay Primera;Paraguay;3
900102;57;;;
D15;53;;;
600585;51;;;
111201;49;Lima;;
010125;48;;;
600105;40;;;
D05;39;;;
760701;35;;;
010703-01;29;Banana Bolivia Tuly;Bolivia;01
760705;29;;;
270102;28;Uva Negra s/s Brasil x 8 kg;Brasil;
010401-6;27;Banana Paraguay Primera;Paraguay;6
010702-3;23;Banana Ecuador Bonita;Ecuador;3
270101;23;Uva Blanca s/s Brasil x 8kg;Brasil;
D06;23;;;
951401;22;Kaki;;
270103;21;Uva Rosada s/s Brasil x 8 kg;Brasil;
120705;19;Piña Ecuador Calibre 5;Ecuador;
600106;18;Palta Brasil Cal. 50 X 14 Kg;Brasil;
090906;16;;;
010703-11;15;Banana Bolivia Tuly;Bolivia;11
D09;12;;;
D16;10;;;
010402-4;9;Banana Paraguay Segunda;Paraguay;4
890201;8;;;
600860;7;;;
980103;7;;;
0810301;6;;;
D18;6;;;
010703-0;5;Banana Bolivia Tuly;Bolivia;0
311207;5;;;
940106;5;;;
010102-4;4;Banana Brasil fibra;Brasil;4
D07;4;;;
010102-5;3;Banana Brasil fibra;Brasil;5
010102-7;3;Banana Brasil fibra;Brasil;7
010402-5;3;Banana Paraguay Segunda;Paraguay;5
D10;3;;;
D14;3;;;
010101-2;2;Banana Brasil (super);Brasil;2
010703-8;2;Banana Bolivia Tuly;Bolivia;8
0810231;2;;;
010401-1;1;Banana Paraguay Primera;Paraguay;1
010402;1;Banana Paraguay Segunda;Paraguay;
120709;1;Piña Ecuador Calibre 9;Ecuador;
250102;1;;;
311202;1;;;
600861;1;;;
